Name,Pressure,Temperature,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O
HAL-X-01A,300,1260,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-01A,300,1240,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-01A,300,1220,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-01A,300,1200,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-01A,300,1180,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-01A,300,1160,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-01A,300,1140,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-02A,300,1180,49.58,0.85,15.66,0.01,10.43,0.15,8.27,13.01,1.64,0.09,0.06,0.1
HAL-X-02A,300,1160,49.58,0.85,15.66,0.01,10.43,0.15,8.27,13.01,1.64,0.09,0.06,0.1
HAL-X-02A,300,1140,49.58,0.85,15.66,0.01,10.43,0.15,8.27,13.01,1.64,0.09,0.06,0.1
HAL-X-01A,100,1220,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-01A,100,1200,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-01A,100,1180,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-01A,100,1160,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-01A,100,1140,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-01A,600,1240,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-01A,600,1220,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-01A,600,1200,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-01A,600,1200,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-01A,600,1180,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-01A,600,1160,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
HAL-X-01A,600,1140,49.87,0.65,16.14,0.08,8.72,0.12,10.23,13.43,1.5,0.07,0.11,0.1
STA-X-01B,100,1220,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,100,1200,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,100,1180,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,100,1160,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,100,1140,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,600,1240,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,600,1220,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,600,1200,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,600,1200,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,600,1180,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,600,1180,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,600,1160,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,600,1140,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,300,1260,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,300,1240,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,300,1220,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,300,1200,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,300,1180,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,300,1160,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-01B,300,1140,49.51,1.52,13.67,0.07,10.87,0.14,10.59,11.91,1.93,0.23,0.15,0.4
STA-X-02A,300,1180,50.04,1.56,14.65,0,10.98,0.17,8.05,12.09,2.05,0.23,0.27,0.4
STA-X-02A,300,1160,50.04,1.56,14.65,0,10.98,0.17,8.05,12.09,2.05,0.23,0.27,0.4
STA-X-02A,300,1140,50.04,1.56,14.65,0,10.98,0.17,8.05,12.09,2.05,0.23,0.27,0.4
