Pressure,Temperature,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,3,1260
3,1140,,,,,,,,3,1240
1,1220,,,,,,,,3,1220
1,1200,,,,,,,,3,1200
1,1180,,,,,,,,3,1180
1,1160,,,,,,,,3,1160
1,1140,,,,,,,,3,1140
6,1240,,,,,,,,3,1180
6,1220,,,,,,,,3,1160
6,1200,,,,,,,,3,1140
6,1200,,,,,,,,1,1220
6,1180,,,,,,,,1,1200
6,1160,,,,,,,,1,1180
6,1140,,,,,,,,1,1160
3,1260,,,,,,,,1,1140
3,1240,,,,,,,,6,1240
3,1220,,,,,,,,6,1220
3,1200,,,,,,,,6,1200
3,1180,,,,,,,,6,1200
3,1160,,,,,,,,6,1180
3,1140,,,,,,,,6,1180
3,1180,,,,,,,,6,1160
3,1160,,,,,,,,6,1140
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
3,1260,,,,,,,,,
3,1240,,,,,,,,,
3,1220,,,,,,,,,
3,1200,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
3,1180,,,,,,,,,
3,1160,,,,,,,,,
3,1140,,,,,,,,,
1,1220,,,,,,,,,
1,1200,,,,,,,,,
1,1180,,,,,,,,,
1,1160,,,,,,,,,
1,1140,,,,,,,,,
6,1240,,,,,,,,,
6,1220,,,,,,,,,
6,1200,,,,,,,,,
6,1200,,,,,,,,,
6,1180,,,,,,,,,
6,1180,,,,,,,,,
6,1160,,,,,,,,,
6,1140,,,,,,,,,
